bucket	date	oca_title	best_ours	score
missing	05-15	Venerable Euphrosynos, Igoumen of Pskov		0.0
elsewhere	05-15	Venerable Serapion of Pskov	09-08  Our Venerable Father Serapion of Pskov (1481)	1.0
present	05-15	Saint Achilles, Bishop of Larissa	Our Father among the Saints Achillius, Bishop of Larissa (330)	1.0
probable	05-16	Venerable Theodore the Sanctified, disciple of Venerable Pachomius the Great	Ven. Theodore the Sanctified	0.67
probable	05-16	Translation of the relics of Venerable Ephraim, Abbot of Perekop, Novgorod	Trans. Rel. Ephraim, Abbot of Perekop	0.67
missing	05-16	Venerable Cassian, Abbot of Komel (Vologda)		0.0
missing	05-16	Venerable Laurence, Abbot of Komel		0.0
missing	05-16	Saint Alexander, Archbishop of Jerusalem		0.0
elsewhere	05-16	Martyrs Vitus, Modestus, and Crescentia, at Lucania	06-15  Holy Martyr Vitus, with Modestus and Crescentia (303)	1.0
probable	05-16	Blessed Child Musa of Rome	Blessed Musa the Maiden (5th c.)	0.5
elsewhere	05-16	Saint George, Bishop of Mitylene	04-07  St George the Confessor, bishop of Mitylene (ca. 820)	1.0
missing	05-16	Venerable Monastic Martyrs of Saint Savva Lavra		0.0
probable	05-16	Saint Theodore of Vrsac, Serbia	Ven. Theodore the Sanctified	0.33
missing	05-16	New Martyr Vukasin of Klepci, Serbia		0.0
probable	05-16	New Martyr Nicholas of Metsovo	St Nicholas Mystikos, Patriarch of Constantinople (930)	0.5
probable	05-16	Saint Brendan the Navigator	St Brendan the Voyager, abbot of Clonfert (ca. 577)	0.5
present	05-17	Sunday of the Blind Man	Blind Man	1.0
missing	05-17	Icon of the Mother of God “of the Passion”		0.0
present	05-17	Apostle Andronicus of the Seventy and his fellow-laborer, Junia	Apostle Andronicus of the Seventy and Junia	1.0
missing	05-17	Saint Euphrosynē, Great Princess of Moscow		0.0
present	05-17	Martyrs Solochon, Pamphamer, and Pamphalon, at Chalcedon	Holy Martyr Solochon (298)	1.0
elsewhere	05-17	Saint Stephen, Archbishop of Constantinople	12-09  St Stephen the New Light (Neolampes) of Constantinople (912)	1.0
missing	05-17	Venerable Dodo of the Saint David-Gareji Monastery, Georgia		0.0
missing	05-17	Great Martyr Nicholas of Sofia (Bulgaria)		0.0
present	05-17	Saint Athanasius the New, Wonderworker and Archbishop of Christianopolis	Athanasios, Archbishop of Christianopolis	1.0
missing	05-17	Transfer of the relics of the Hieromartyr Adrian of Ondrusov, Wonderworker		0.0
present	05-18	Martyr Theodotus of Ancyra, and with him the seven Virgin Martyrs: Alexandra, Tecusa, Claudia, Phaine, Euphraisa, Matrona, and Julia, who suffered under Decius	Martyr Theodotus of Ancyra	1.0
probable	05-18	Martyrs Peter, Dionysius, Andrew, Paul, and Christina who suffered under Decius	Holy Martyrs Peter, Dionysius, Christina, Andrew, Paul, Benedimus, Paulinus, and Heraclius (250)	0.62
missing	05-18	Martyrs Simeon, Isaac and Bachtisius, of Persia		0.0
present	05-18	Martyrs Heraclius, Paulinus, and Benedimus	Holy Martyrs Peter, Dionysius, Christina, Andrew, Paul, Benedimus, Paulinus, and Heraclius (250)	1.0
missing	05-18	Martyrs David and Tarichan of Georgia		0.0
present	05-19	Hieromartyr Patrick, Bishop of Prusa, and his companions	Hieromartyr Patrick, Bishop of Prusa	1.0
missing	05-19	Venerable Cornelius, Abbot of Komel, Vologda		0.0
missing	05-19	Venerable Cornelius, Abbot of Paleostrov		0.0
missing	05-19	Right-believing John, Prince of Uglich, tonsured as Ignatius		0.0
missing	05-19	Venerable Sergius of Shukhtom		0.0
missing	05-19	Saint John, Bishop of the Goths in the Crimea		0.0
probable	05-19	Right-believing Demetrios Donskoy, Grand Prince of Moscow	Rt. Blv. Dimitry Donskoy	0.33
missing	05-19	Martyr Caluf of Egypt		0.0
elsewhere	05-19	Entrance of Saint Nino (Nina) the Enlightener into Georgia	01-14  St Nino of Georgia	1.0
greek	05-19	Martyr Theotime	Theotima & Kyriake the Martyrs	1.0
present	05-20	Leavetaking of Pascha	Leavetaking of Pascha / Forefeast of Ascension	1.0
present	05-20	Unmercenary Physician Thallelaios at Aegae in Cilicia and his companions, Martyrs Alexander and Asterios	Martyr Thalelaeus of Cilicia	1.0
probable	05-20	Uncovering of the relics of Saint Alexis, Metropolitan of Moscow and Wonderworker of All Russia	Unc. Rel. St Aleksy, Metropolitan of Kiev	0.2
missing	05-20	Blessed Dovmont (Timothy), Prince of Pskov		0.0
missing	05-20	Martyr Asclas of Egypt		0.0
elsewhere	05-20	Glorification of Venerable Zabulon and Sosanna, parents of Saint Nino, Enlightener of Georgia	01-14  St Nino of Georgia	1.0
missing	05-20	Venerable Stephen of Piperi, Serbia		0.0
elsewhere	05-20	Saint Lydia of Philippi	05-07  St Lydia of Philippi (1st c.)	1.0
present	05-21	The Ascension of our Lord	Ascension of the Lord	1.0
probable	05-21	Equal of the Apostles and Emperor Constantine with his Mother Helen	SS Constantine and Helen, Equals-to-the-Apostles	0.67
probable	05-21	Venerable Constantine, (in baptism Yaroslav), with his children Michael and Theodore, Wonderworkers of Murom	SS Constantine and Helen, Equals-to-the-Apostles	0.33
elsewhere	05-21	Venerable Cassian the Greek of Uglich	10-02  St Cassian the Greek, Wonderworker of Uglich (1504)	1.0
elsewhere	05-21	Meeting of the Vladimir Icon of the Mother of God	08-26  Vladimir Icon	1.0
missing	05-21	“Tenderness” Icon of the Mother of God from the Pskov Caves		0.0
present	05-22	Martyr Basiliscus, Bishop of Comana	Martyr Basiliscus, Bishop of Comana	1.0
present	05-22	Commemoration of the Holy Fathers of the Second Ecumenical Council	Commemoration of the Second Ecumenical Council (381).	1.0
probable	05-22	Saint John-Vladimir, Prince of Bulgaria, Greatmartyr, and Miracle-worker	John-Vladimir, Ruler of Serbia	0.5
missing	05-22	Monastic Martyr Paul of the Lavra, Mount Athos		0.0
missing	05-22	Icon of the Mother of God of Cyprus		0.0
missing	05-22	Blessed James of Borovichi, Wonderworker of Novgorod		0.0
present	05-22	Righteous Melchizedek, King of Salem	Righteous Melchizedek, king of Salem.	1.0
present	05-23	Saint Michael the Confessor, Bishop of Synnada	St Michael the Confessor	1.0
missing	05-23	Synaxis of the Saints of Rostov		0.0
probable	05-23	Venerable Euphrosyne, Abbess of Polotsk	Holy Virgin Euphrosyne, Princess of Polotsk (1173)	0.67
missing	05-23	Venerable Paisius, Abbot of Galich		0.0
present	05-23	Martyr Michael “the Black-Robed” of Saint Savva Monastery	Holy Martyr Michael of St Sabbas' Monastery(9th c.)	1.0
missing	05-23	Saint Damiane (Demetrius), King and Hymnographer		0.0
missing	05-23	Icon of the Mother of God “You are a Vineyard” (Georgian: Shen khar venakhi)		0.0
present	05-23	Holy Myrrh-bearer Mary, the wife of Cleopas	Holy Myrrh-bearer Mary, wife of Cleopas	1.0
present	05-23	Saint Leontius, Bishop of Rostov	Unc. Rel. St Leonty, Bishop of Rostov	1.0
present	05-24	Commemoration of the Holy Fathers of the First Ecumenical Council	Holy Fathers of the First Ecumenical Council	1.0
probable	05-24	Venerable Simeon Stylites the Younger of Wonderful Mountain	Ven. Simeon the Stylite	0.67
probable	05-24	Venerable Niketas the Stylite, Wonderworker of Pereyaslavl, Zalesski	Ven. Simeon the Stylite	0.33
missing	05-24	Martyr Meletius Stratelates who suffered in Galatia, and those with him		0.0
present	05-24	Saint Vincent of Lerins	St Vincent of Lerins (445)	1.0
present	05-25	Third Finding of the Honorable Head of the Holy Glorious Prophet, Forerunner and Baptist John	3rd Finding of the Head of St John the Baptist	1.0
present	05-25	Hieromartyr Therapon, Bishop of Cyprus	Holy Hieromartyr Therapon, Bishop of Cyprus (4th c.)	1.0
missing	05-25	Hieromartyr Urban, Pope of Rome		0.0
present	05-26	Apostle Carpus of the Seventy	Apostles Carpus and Alphaeus of the Seventy	1.0
present	05-26	Apostle Alphaeus of the Seventy	Apostles Carpus and Alphaeus of the Seventy	1.0
present	05-26	Greatmartyr George the New at Sofia, Bulgaria	Greatmartyr George the New at Sofia	1.0
missing	05-26	Uncovering of the relics of Venerable Macarius, Abbot of Kalyazin		0.0
missing	05-26	Martyrs Abercius and Helen, children of the Apostle Alphæus		0.0
missing	05-26	Venerable Confessor John Psykhaitis		0.0
present	05-26	Saint Augustine of Canterbury, Evangelizer of England	Saint Augustine of Canterbury, evangelizer of England (ca. 605)	1.0
present	05-27	Hieromartyr Therapon, Bishop of Sardis	Hieromartyr Therapon	1.0
probable	05-27	Translation of the relics of Venerable Nilus of Stolobensk	Trans. Rel. Ven. Nilus of Stolbensk	0.5
present	05-27	Saint John the Russian and Confessor, whose relics are on the island of Euboia	Holy New Confessor John the Russian (1730)	1.0
present	05-27	Venerable Therapon, Abbot of White Lake	Hieromartyr Therapon	1.0
elsewhere	05-27	Translation of the relics of Saints Cyprian, Photius, and Jonah, Metropolitans of Moscow and All Russia	10-09  Repose of St Tikhon, Patriarch of Moscow and All Russia, Confessor (1925)	0.75
present	05-27	Venerable Therapon, Abbot of Monza	Hieromartyr Therapon	1.0
present	05-27	Virgin Martyr Theodora and Martyr Didymus the Soldier, of Alexandria	Holy Martyrs Theodora and Didymus (304)	1.0
present	05-27	Venerable Bede, the Church Historian	Venerable Bede (Baeda) (735)	1.0
missing	05-27	Saint Basil of Georgia, son of King Bagrat III		0.0
missing	05-27	Venerable Michael of Parekhi		0.0
missing	05-27	Venerable Matthew of Zaransk		0.0
present	05-28	Saint Niketas, Bishop of Chalcedon	St Nicetas, Bishop of Chalcedon	1.0
present	05-28	Saint Ignatius the Wonderworker, Bishop of Rostov	St Ignaty, Bishop of Rostov	1.0
present	05-28	Saint Eutychius, Bishop of Melitene	Hieromartyr Eutychius, Bishop of Melitene	1.0
present	05-28	Martyr Heliconis of Thessalonica	Helikonis the Martyr	1.0
missing	05-28	Hieromartyr Helladius, Bishop in the East		0.0
missing	05-28	Saint Germanus, Bishop of Paris		0.0
missing	05-28	Saint Sophronius the Bulgarian		0.0
missing	05-28	New Martyr Demetrius		0.0
missing	05-28	Icon of the Mother of God of Nicea		0.0
missing	05-28	Saint William of Gellone		0.0
probable	05-29	Holy Virgin Martyr Theodosίa of Tyre	Virgin Martyr Theodosia of Tyre	0.67
probable	05-29	Repose of the Blessed John of Ustiug the Fool-for-Christ	Rep. Bl. John of Ustiug	0.67
probable	05-29	Virgin Martyr Theodosia the Nun of Constantinople	Virgin Martyr Theodosia of Tyre	0.67
missing	05-29	Icon of the Mother of God “the Surety of Sinners”		0.0
probable	05-29	Martyred Fathers and Mothers of Atchara	"The Fall of Constantinople (1453); ""Blessed Constantine XII, last of the Byzantine emperors, martyred by the Turks (1453)"""	0.33
present	05-30	Memorial Saturday	Memorial Saturday	1.0
probable	05-30	Venerable Isaac, Founder of Dalmátos Monastery at Constantinople	Ven. Isaac, Founder of Dalmatian Monastery	0.6
missing	05-30	Saint Emmeleίa		0.0
present	05-31	Holy Pentecost	Holy Pentecost	1.0
present	05-31	Apostle Hermas of the Seventy	Apostle Hermes of the Seventy	1.0
present	05-31	Martyr Hermias at Comana	Hermias the Martyr at Comana	1.0
missing	05-31	Martyr Philosophus at Alexandria		0.0
missing	05-31	Hieromartyr Philosophos of St. Petersburg		0.0
missing	05-31	Metropolitan Philotheos of Tobolsk, Enlightener of Siberia		0.0
missing	05-31	Saint Apollonios (Apollo) of the Egyptian Thebaid		0.0
present	06-01	Postfeast of Pentecost — Day of the Holy Spirit	Day of the Holy Spirit	1.0
present	06-01	Martyr Justin the Philosopher and those with him at Rome	Martyr Justin the Philosopher	1.0
missing	06-01	Venerable Dionysius, Abbot of Glushitsa, Vologda		0.0
present	06-01	Venerable Agapitus the Unmercenary Physician of the Kiev Near Caves	Our Holy Father Agapitus of the Kiev Caves (1095)	1.0
missing	06-01	Martyrs Shio, David, Gabriel, and Paul of Akhalkalaki in Georgia		0.0
probable	06-02	Postfeast of Pentecost — 3rd Day of the Trinity	Third Day of the Trinity	0.67
present	06-02	Saint Nikephoros the Confessor, Patriarch of Constantinople	St Nicephorus the Confessor	1.0
missing	06-02	New Martyr John the New of Sochi, who suffered at Belgrade		0.0
missing	06-02	Uncovering of the relics of Venerable Juliana, Princess of Vyazma		0.0
missing	06-02	Icon of the Mother of God of Kiev-Bratsk		0.0
present	06-02	Venerable Erasmus of Ochrid	Hieromartyr Erazmo of Ochrid (303)	1.0
probable	06-03	Martyr Lucillian and those who suffered with him at Byzantium	Martyr Lucillian and His Companions	0.5
elsewhere	06-03	Translation of the relics of slain Crown Prince Demetrius of Moscow	05-15  Slain Crown Prince Dimitry of Moscow	0.8
present	06-03	Hieromartyr Lucian, Bishop of Beauvais, and those with him in France	Hieromartyr Lucian (2nd c.)	1.0
present	06-03	Saint Kevin of Glendalough	Kevin, Abbot of Glendalough	1.0
missing	06-04	“Surety of Sinners” Icon of the Mother of God of Korets		0.0
present	06-04	Saint Metrophanes, first Patriarch of Constantinople	St Metrophanes, First Patriarch of Constantinople	1.0
present	06-04	Righteous Martha and Mary, the sisters of Lazarus	Holy Myrrh-bearers Mary and Martha, sisters of St Lazarus (1st c.)	1.0
elsewhere	06-04	Venerable Methodius, Abbot of Peshnosha, Disciple of Venerable Sergius of Radonezh	09-25  Our Holy Father Sergius of Radonezh (1392)	1.0
missing	06-04	Martyrs Frontasius, Severinus, Severian, and Silanus, of Gaul		0.0
missing	06-04	Martyr Concordius of Spoleto		0.0
missing	06-04	Hieromartyr Astius, Bishop of Dyrrachium in Macedonia		0.0
missing	06-04	Venerable Father Zosima, Bishop of Babylon		0.0
missing	06-04	Venerable Sophia of Ainos		0.0
elsewhere	06-04	Hieromartyr Joannicius of Serbia	09-03  Our Holy Father Joannicius, Archbishop and first Patriarch of Serbia (1354)	1.0
missing	06-04	Hieromartyr George of Serbia		0.0
missing	06-04	Martyrs of Niculitsel		0.0
missing	06-04	New Martyr Archbishop Andronicus of Perm		0.0
missing	06-04	Hieromartyr Joanicus, Metropolitan of Montenegro and the Coast		0.0
missing	06-04	Hieromartyr Savva, Bishop of Upper Karlovac		0.0
present	06-05	Hieromartyr Dorotheus, Bishop of Tyre	Hieromartyr Dorotheus, Bishop of Tyre	1.0
present	06-05	Translation of the relics of the Right-believing Igor-George, Tonsured Gabriel, Grand Prince of Chernigov, and Kiev	Blessed Igor-George, tonsured Gabriel, great prince of Chernigov and Kiev (1147)	1.0
present	06-05	Blessed Constantine, Metropolitan of Kiev	Blessed Constantine, Metropolitan of Kiev (1159)	1.0
probable	06-05	Repose of Saint Theodore Yaroslavich, older brother of Saint Alexander Nevsky	Our Holy Father Theodore the Hermit and Wonderworker (583)	0.5
missing	06-05	Finding of the Relics of Venerable Bassian and Jonah, Monks of Pertominsk		0.0
missing	06-05	Martyrs Marcian, Nicander, Hyperechius, Appolonius, Leonidas, Arius, Gorgias, Pambo, Selenia, and Irene of Egypt		0.0
present	06-05	Venerable Theodore, Wonderworker and Hermit of the Jordan	Our Holy Father Theodore the Hermit and Wonderworker (583)	1.0
missing	06-05	Venerable Anubius the Confessor and Anchorite of Egypt		0.0
probable	06-05	Venerable Abba Dorotheus of Palestine	Hieromartyr Dorotheus, Bishop of Tyre	0.5
missing	06-05	Saint Peter of Korisha		0.0
missing	06-05	Icon of the Mother of God of Igor		0.0
present	06-06	Venerable Bessarion, Wonderworker of Egypt	Ven. Bessarion the Wonderworker of Egypt	1.0
present	06-06	Venerable Hilarion the New, Abbot of the Dalmatian Monastery	St Hilarion the New, abbot of the Dalmatian Monastery (845)	1.0
missing	06-06	Saint Jonah, Bishop of Perm		0.0
missing	06-06	Venerable Paisius, Abbot of Uglich		0.0
missing	06-06	Venerable Jonah, Abbot of Klimetzk		0.0
present	06-06	Virgin Martyrs Archelais, Thekla, and Susanna, at Salerno	Our Holy Mothers the Martyrs Archelaïs, Thekla and Susanna (293)	0.75
missing	06-06	Pimenov Icon of the Mother of God		0.0
missing	06-06	Martyr Gelasius		0.0
missing	06-07	Synaxis of All Saints		0.0
missing	06-07	Icon of the Mother of God “The Unbreakable Wall”		0.0
missing	06-07	"""Seven Arrows"" Icon of the Mother of God"		0.0
present	06-07	Hieromartyr Theodotus, Bishop of Ancyra	Hieromartyr Theodotus, Bishop of Ancyra	1.0
present	06-07	Hieromartyr Marcellinus, Pope of Rome, and those with him	Hieromartyr Marcellinus, pope of Rome (304)	1.0
missing	06-07	Hieromartyr Sisinius the Deacon of Rome and those with him		0.0
elsewhere	06-07	Martyrs Kyriake, Kaleria, and Mary of Caesarea, in Palestine	09-29  St Mary of Palestine (6th c.)	1.0
present	06-07	Martyr Zēnaίda (Zenais) of Caesarea in Palestine	Zenais the Martyr	1.0
present	06-07	Venerable Daniel of Sketis	St Daniel of Skete in Egypt (5th c.)	1.0
missing	06-07	Saint Potamiani of Alexandria		0.0
present	06-08	Translation of the relics of the Greatmartyr Theodore Stratelates	Trans. Rel. Theodore Stratelates	1.0
probable	06-08	Saint Theodore, first Bishop of Rostov and Suzdal	Trans. Rel. Theodore Stratelates	0.25
elsewhere	06-08	Finding of the Relics of Saints Basil and Constantine, Princes of Yaroslavl	09-19  Rt. Blv. Theodore, Prince of Smolensk, and his sons Ss David and Constantine of Yaroslavl	0.75
present	06-08	Saint Ephraim, Patriarch of Antioch	St Ephraim, Patriarch of Antioch (545)	1.0
present	06-08	Venerable Zosimus of Phoenicia, Syria	St Zosimas, monk, of Phoenicia (Syria) (6th c.)	1.0
missing	06-08	Icon of the Mother of God of Yaroslavl		0.0
missing	06-08	Icon of the Mother of God of White Lake		0.0
probable	06-08	Hieromartyr Theodore (Tevdore) of Kvelta	Trans. Rel. Theodore Stratelates	0.33
present	06-09	Saint Cyril, Archbishop of Alexandria	St Cyril of Alexandria	1.0
probable	06-09	Venerable Cyril, Igoumen of White Lake	St Cyril of Alexandria	0.5
missing	06-09	Venerable Alexander, Abbot of Kushta, Vologda		0.0
present	06-09	Five Nuns beheaded in Persia: Martyrs Thecla, Mariamne, Martha, Mary, and Ennatha	5 Nuns beheaded in Persia: Thecla, Mariamne, Martha, Mary, & Enmatha	0.88
